name,description,instructions,muscle_group
Tricep Dips,Uses body weight to work the tricep muscles by elevating the body on parallel bars or a bench.,"""Grip the bars or edge of the bench, straighten your arms, and lower your body until your elbows are bent at a 90-degree angle, then press up to the starting position.""",Triceps
Skull Crushers,Involves extending the elbows with weights from a lying position to work the triceps.,"""Lie on a bench with a barbell or dumbbells. Extend your arms above your chest, then bend your elbows to lower the weights near your forehead. Extend your arms back to the starting position.""",Triceps
Tricep Kickbacks,Targets the triceps by kicking back the arm with a dumbbell from a bent-over position.,"""Lean forward with a dumbbell in one hand, elbow at a 90-degree angle. Extend your arm back until it is straight, then return to the starting position. Repeat on the other side.""",Triceps
Close-Grip Bench Press,A variation of the bench press that focuses more on the triceps by using a closer grip.,"""Lie on a bench and grip the barbell closer than shoulder-width. Lower the bar to your chest, keeping your elbows close to your body, then press back up to the starting position.""",Triceps
Military Press,"""A fundamental exercise for shoulder strength and development, performed with a barbell.""","""Stand or sit with a barbell at shoulder height. Press the barbell upwards until your arms are fully extended overhead, then lower back to the starting position.""",Shoulder
Lateral Raise,Isolates the side deltoids by lifting weights away from the body.,"""Stand with dumbbells at your sides, palms facing in. Raise your arms out to the sides until they are parallel to the floor, then lower them back down.""",Shoulder
Front Raise,Targets the anterior deltoids by lifting weights in front of the body.,"""Stand with dumbbells in front of your thighs, palms facing your thighs. Lift the weights straight in front of you to shoulder height, then lower them back down.""",Shoulder
Reverse Flyes,Strengthens the posterior deltoids and upper back by pulling weights out to the side from a bent-over position.,"""Bend forward at the waist with dumbbells in hand, palms facing each other. Raise your arms out to your sides, keeping a slight bend in the elbows, then lower them back down.""",Shoulder
Plank,A core stabilization exercise that involves maintaining a position similar to a push-up for the maximum possible time.,Support your body on your toes and forearms with your elbows under your shoulders. Keep your body in a straight line from head to heels.,Abdominal (Core)
Crunches,A classic exercise focusing on the rectus abdominis by curling the upper body towards the knees.,Lie on your back with your knees bent and feet flat on the floor. Place your hands behind your head and lift your shoulders off the floor by contracting your abs.,Abdominal (Core)
Russian Twists,Targets the obliques by rotating the torso with or without weight.,"Sit on the floor with your knees bent, lean back slightly. Hold a weight (optional) with both hands in front of you and twist your torso to the left and then to the right.",Abdominal (Core)
Hanging Leg Raises,Strengthens the lower abdominals and increases core stability by lifting the legs while hanging from a bar.,"""Hang from a pull-up bar with your legs straight. Raise your legs in front of you as high as possible, then slowly lower them back down.""",Abdominal (Core)
Mountain Climbers,"""A dynamic full-body exercise that targets the core, shoulders, and cardiovascular system.""","""Start in a high plank position. Drive one knee towards your chest, then quickly switch to the other knee, mimicking a running motion.""",Cardio
Burpees,A high-intensity full-body exercise that combines strength training and cardiovascular conditioning.,"""Begin in a standing position, drop into a squat with your hands on the ground, kick your feet back into a plank position, do a push-up, then return to the squat and jump up.""",Cardio
High Knees,"""An aerobic exercise that targets the core, legs, and cardiovascular system, promoting agility and coordination.""","""Begin in a standing position, drop into a squat with your hands on the ground, kick your feet back into a plank position, do a push-up, then return to the squat and jump up.""",Cardio
Jump Rope,"""A classic cardiovascular exercise that improves coordination, endurance, and cardiovascular health.""","""Use a jump rope and engage in continuous jumping, keeping your core tight.""",Cardio
